優先,分類,項目名稱,企劃開表,期望完成,美術提交,介面截圖路徑,美術上傳路徑,拆圖歸檔路徑,企劃,功能,代圖操作,拆圖,編輯,final
1,練習模式,練習_打擊標記1,2026.04.27,2026.05,2026.06.02,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\練習模式, \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\練習介面,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\13.Training,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1,個人資訊,個人_基本資訊,2026.02.24,2026.03,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\個人資訊\個人_基本資訊.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\14.Profile,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
1,個人資訊,個人_更換頭像,2026.02.24,2026.03,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\個人資訊\個人_更換頭像.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\14.Profile,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
1,個人資訊,個人_武器積分,2026.02.24,2026.03,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\個人資訊\個人_武器積分.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\14.Profile,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
1,個人資訊,個人_武將資訊,2026.02.24,2026.03,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\個人資訊\個人_武將資訊.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\14.Profile,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
1,個人資訊,個人_篩選,2026.02.24,2026.03,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\個人資訊\個人_篩選.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\14.Profile,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
1,排行榜,排行榜,2026.02.24,2026.03,2026.06.03,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\排行榜\排行榜.png, \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\排行榜,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\09.Rank,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1,對戰撮合,搓合_線上 ,2026.02.24,2026.03,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\對戰撮合\搓合_線上 (等待人數為測試用).png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\05.Match,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
1,對戰撮合,搓合成功_單人雙人,2026.02.24,2026.03,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\對戰撮合\搓合成功_單人雙人.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\05.Match,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
1,對戰撮合,搓合成功_線上,2026.02.24,2026.03,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\對戰撮合\搓合成功_線上(舊版本還未改3D).png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\05.Match,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2,戰鬥選擇,場景選擇,2026.02.24,2026.04,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\戰鬥選擇\場景選擇.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\08.PVP模式選擇,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2,戰鬥選擇,選角_單人線上1,2026.02.24,2026.04,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\戰鬥選擇\選角_單人線上1.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\08.PVP模式選擇,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2,戰鬥選擇,選角_單人線上2,2026.02.24,2026.04,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\戰鬥選擇\選角_單人線上2.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\08.PVP模式選擇,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2,戰鬥選擇,選角_單人線上3,2026.02.24,2026.04,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\戰鬥選擇\選角_單人線上3.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\08.PVP模式選擇,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2,戰鬥選擇,選角_雙人1,2026.02.24,2026.04,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\戰鬥選擇\選角_雙人1.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\08.PVP模式選擇,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2,戰鬥選擇,選角_雙人2,2026.02.24,2026.04,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\戰鬥選擇\選角_雙人2.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\08.PVP模式選擇,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2,戰鬥選擇,鍵位選擇_雙人1,2026.02.24,2026.04,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\戰鬥選擇\鍵位選擇_雙人1.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\08.PVP模式選擇,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2,戰鬥選擇,鍵位選擇_雙人2,2026.02.24,2026.04,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\戰鬥選擇\鍵位選擇_雙人2.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\08.PVP模式選擇,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2,登入訊息,登入讀取,2026.02.24,2026.04,2026.06.30,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\登入訊息\登入讀取.png,\\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\登入,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\12.System,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,登入訊息,訊息跳窗,2026.02.24,2026.04,2026.06.30,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\登入訊息\訊息跳窗.png,\\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\登入,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\02.Common,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,登入訊息,開頭,2026.02.24,2026.04,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\登入訊息\開頭.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\04.Login,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2,登入訊息,開頭讀取,2026.02.24,2026.04,2026.06.30,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\登入訊息\開頭讀取.png,\\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\登入,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\04.Login,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,登入訊息,黑幕讀取,2026.02.24,2026.04,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\登入訊息\黑幕讀取.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\12.System,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2,結算,結算_線上1,2026.02.24,2026.04,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\結算\結算_線上1.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\10.Result,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2,結算,結算_線上2,2026.02.24,2026.04,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\結算\結算_線上2.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\10.Result,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2,結算,結算_雙人1,2026.02.24,2026.04,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\結算\結算_雙人1.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\10.Result,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2,結算,結算_雙人2,2026.02.24,2026.04,,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\結算\結算_雙人2.png, ,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\10.Result,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2,設定介面,設定_圖像,2026.02.24,2026.04,2026.04.01,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\設定介面\設定_圖像.png, \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\設定介面,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\11.Setting,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,設定介面,設定_帳號管理,2026.02.24,2026.04,2026.04.01,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\設定介面\設定_帳號管理.png, \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\設定介面,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\11.Setting,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,設定介面,設定_招式表,2026.02.24,2026.04,2026.04.01,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\設定介面\設定_招式表.png, \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\設定介面,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\11.Setting,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,設定介面,設定_控制器,2026.02.24,2026.04,2026.04.01,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\設定介面\設定_控制器.png, \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\設定介面,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\11.Setting,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,設定介面,設定_控制器設定,2026.02.24,2026.04,2026.04.01,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\設定介面\設定_控制器設定.png, \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\設定介面,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\11.Setting,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,設定介面,設定_系統偏好,2026.02.24,2026.04,2026.04.01,\\Server02\sgf\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\設定介面\設定_系統偏好.png, \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\設定介面,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\11.Setting,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,設定介面,設定_圖像_亮度設定,2026.03.06,2026.04,2026.04.01,\\server02\SGF\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\設定介面\設定_圖像_亮度設定.jpg, \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\設定介面,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\11.Setting,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,設定介面,設定_圖像_解析度,2026.03.06,2026.04,2026.04.01,\\server02\SGF\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20260202\設定介面\設定_圖像_解析度.png , \\Server02\sgf\00_DevTeamShare\_介面圖稿\美術審核\通過\介面換皮\設定介面,\\Server02\sgf\00_DevTeamShare\_介面圖稿\SGF_UI\11.Setting,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
3,大廳,,,,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
3,側邊資訊,,,,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
3,武將快速選擇,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3,建立房間,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3,武將圖鑑 武將列表,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3,任務,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,商城,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,通行證,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,亂世征途,戰鬥_Rogue模式,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,對戰重播,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3,招式表(標題調整),,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,影片流程參考,\\server02\SGF\60_Temp_NoBackup\姵瑾\20251218 正式版介面換皮\20251219 影片,,,,,,,,,,,,
,,截圖只是呈現目前介面遊戲畫面，並非全部都要做修改,,,,,,,,,,,,
